brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,vehicle_age,price_per_mile,is_luxury,high_mileage,age_group
Land,Rover Range Rover HSE SWB,2020,16000,Hybrid,395.0,A/T,Silver,Black,None reported,Yes,75500,6,4.7184550965564656,1,0,Moderate
Land,Rover Defender S,2023,15200,Gasoline,296.0,A/T,White,Black,None reported,Yes,62999,3,4.144398394842445,1,0,New
BMW,650 i,2012,39960,Gasoline,400.0,6-Speed M/T,White,Brown,None reported,Yes,38995,14,0.9758264307700008,1,0,Old
Ford,Mustang Base,2008,119000,Gasoline,210.0,A/T,White,Black,At least 1 accident or damage reported,Yes,13500,18,0.11344442483676608,0,1,Old
Kia,K5 GT-Line,2022,10971,Gasoline,1.6,8-Speed Automatic,Passion Red,Black,None reported,Yes,29998,4,2.7340503098796938,0,0,New
Mazda,Mazda3 i Touring,2014,118500,Gasoline,155.0,M/T,Silver,Black,At least 1 accident or damage reported,Yes,11500,12,0.09704559455194471,0,1,Old
Kia,Stinger GT1,2021,8288,Gasoline,365.0,8-Speed A/T,Black,Black,None reported,Yes,45899,5,5.537338641573169,0,0,New
Chevrolet,Camaro ZL1,2023,2950,Gasoline,650.0,10-Speed A/T,Red,Gray,None reported,Yes,74500,3,25.245679430701458,0,0,New
Mercedes-Benz,AMG G 63 Base,2017,73000,Gasoline,563.0,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,78000,9,1.068478513992959,1,0,Moderate
Ford,Thunderbird Premium,2005,82000,Gasoline,280.0,Transmission w/Dual Shift Mode,Gold,White,None reported,Yes,14900,21,0.18170510115730296,0,0,Very Old
GMC,Sierra 1500 SLT,2017,49105,Gasoline,420.0,8-Speed A/T,White,Black,None reported,Yes,39750,9,0.8094733841078483,0,0,Moderate
Kia,Telluride LX,2023,5500,Gasoline,291.0,8-Speed A/T,Silver,Black,None reported,Yes,40000,3,7.271405199054717,0,0,New
Chevrolet,Corvette Base,2005,36700,Gasoline,400.0,6-Speed M/T,Blue,Black,None reported,Yes,26000,21,0.7084275632816545,0,0,Very Old
BMW,650 i,2014,40000,Gasoline,445.0,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,34000,12,0.8499787505312367,1,0,Old
Nissan,Rogue SL,2017,78110,Gasoline,170.0,A/T,Silver,Black,None reported,Yes,17500,9,0.22404014799452063,0,0,Moderate
GMC,Acadia Denali,2015,74864,Gasoline,288.0,A/T,Gray,Beige,None reported,Yes,19780,11,0.2642089093701997,0,0,Old
Cadillac,Escalade Premium Luxury Platinum,2021,15350,Gasoline,420.0,10-Speed A/T,Black,Black,None reported,Yes,93500,5,6.0908084163898115,0,0,New
Nissan,GT-R Premium,2010,46100,Gasoline,485.0,6-Speed A/T,Blue,Black,None reported,Yes,72999,16,1.5834580594781025,0,0,Old
Toyota,Highlander XLE,2018,61454,Gasoline,295.0,A/T,Silver,Gray,None reported,Yes,31000,8,0.5044341388007485,0,0,Moderate
BMW,X7 xDrive40i,2020,45241,Gasoline,335.0,A/T,Blue,Brown,None reported,Yes,54500,6,1.2046328632686443,1,0,Moderate
INFINITI,QX60 Base,2018,48000,Gasoline,295.0,CVT Transmission,Black,Black,None reported,Yes,27000,8,0.5624882814941355,0,0,Moderate
Lexus,IS 250C Base,2010,68500,Gasoline,204.0,6-Speed M/T,Black,Beige,None reported,Yes,18500,16,0.27006905008686005,1,0,Old
GMC,Sierra 1500 Denali,2019,43433,Gasoline,5.3,Automatic,Onyx Black,Walnut,None reported,Yes,51899,7,1.1948934014827095,0,0,Moderate
Chevrolet,SSR Base,2005,122961,Gasoline,6.0,4-Speed Automatic,Redline Red,Ebony,None reported,Yes,20995,21,0.1707438070298141,0,1,Very Old
Dodge,Challenger R/T,2014,92861,Gasoline,375.0,5-Speed A/T,Gray,Red,None reported,Yes,19750,12,0.21268118283043655,0,0,Old
Hyundai,Equus Signature,2016,72000,Gasoline,429.0,8-Speed A/T,White,Beige,None reported,Yes,21400,10,0.2972180941931362,0,0,Moderate
Ford,Mustang GT,2003,83000,Gasoline,260.0,A/T,Gray,Black,None reported,Yes,10500,23,0.12650449994578378,0,0,Very Old
Toyota,Sequoia Limited,2023,8200,Hybrid,437.0,10-Speed A/T,Brown,Black,None reported,Yes,78900,3,9.62077795390806,0,0,New
Land,Rover Range Rover Sport HST MHEV,2020,19000,Hybrid,395.0,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,74900,6,3.9418977948529026,1,0,Moderate
Jeep,Grand Cherokee L Limited,2022,12875,Gasoline,3.6,8-Speed Automatic,Diamond Black,Global Black,None reported,Yes,42599,4,3.308403230817024,0,0,New
Maserati,GranTurismo Sport,2015,32000,Gasoline,454.0,A/T,Beige,Brown,None reported,Yes,36000,11,1.1249648448485985,1,0,Old
BMW,M5 Base,2013,61145,Gasoline,560.0,7-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,37500,13,0.6132862329506428,1,0,Old
Mercedes-Benz,C-Class 4MATIC Sedan,2022,9612,Gasoline,2.0,"Automatic, 9-Spd 9G-Tronic",–,–,None reported,Yes,43900,4,4.566732549672318,1,0,New
Ford,F-150 Lariat,2011,152000,Gasoline,365.0,6-Speed A/T,Brown,Beige,None reported,Yes,14000,15,0.09210465720620259,0,1,Old
Audi,A4 2.0T Premium,2012,129567,Gasoline,211.0,A/T,White,Black,None reported,Yes,7000,14,0.05402568535440849,1,1,Old
BMW,540 i xDrive,2019,36000,Gasoline,335.0,8-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,41995,7,1.1664953751284686,1,0,Moderate
BMW,X6 xDrive35i,2009,92008,Gasoline,300.0,6-Speed A/T,White,Black,None reported,Yes,12500,17,0.13585627492962646,1,0,Old
Ford,Mustang Base,1998,63900,Gasoline,150.0,A/T,White,Gray,None reported,Yes,10300,28,0.16118683588676233,0,0,Very Old
Toyota,Sequoia Limited,2012,150900,Gasoline,381.0,A/T,Black,Gray,None reported,Yes,17500,14,0.11597007309428035,0,1,Old
Land,Rover Range Rover 3.0L Supercharged,2018,38020,Gasoline,5.0,Automatic,White,Espresso,None reported,Yes,63998,8,1.6832276899608112,1,0,Moderate
Audi,Q8 55 Premium Plus,2021,14750,Hybrid,335.0,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,61059,5,4.139312588977019,1,0,New
Subaru,WRX Base,2015,52500,Gasoline,268.0,6-Speed M/T,Gray,Black,None reported,Yes,23000,11,0.43808689358297936,0,0,Old
INFINITI,QX60 Pure,2020,39000,Gasoline,295.0,A/T,Gray,Gray,None reported,Yes,29900,6,0.76664700905105,0,0,Moderate
Porsche,Cayman Base,2011,66000,Gasoline,265.0,A/T,Black,Brown,None reported,Yes,28000,15,0.4242359964242966,1,0,Old
INFINITI,QX60 Base,2017,93500,Gasoline,295.0,A/T,Black,Black,None reported,Yes,16000,9,0.17112116447952427,0,0,Moderate
BMW,M4 Base,2018,7200,Gasoline,425.0,7-Speed A/T,Black,Black,None reported,Yes,64000,8,8.887654492431606,1,0,Moderate
Land,Rover Defender SE,2023,8421,Hybrid,395.0,A/T,Black,White,None reported,Yes,90000,3,10.686297791498456,1,0,New
BMW,M8 Base,2020,25520,Gasoline,4.4,8-Speed Automatic,Brands Hatch Gray Metallic,Black,None reported,Yes,84900,6,3.3266721523451275,1,0,Moderate
Volvo,C40 Recharge Pure Electric Twin Ultimate,2023,17000,Gasoline,402.0,A/T,Gray,Blue,None reported,Yes,54900,3,3.2292218104817363,0,0,New
Mercedes-Benz,SL-Class SL 550,2011,41314,Gasoline,382.0,Transmission w/Dual Shift Mode,Red,White,At least 1 accident or damage reported,Yes,30999,15,0.7503086046230183,1,0,Old
Land,Rover Range Rover P525 HSE SWB,2020,49899,Gasoline,518.0,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,64500,6,1.2925851703406814,1,0,Moderate
Ford,Escape XLT,2012,186268,E85 Flex Fuel,240.0,6-Speed A/T,Blue,Black,None reported,Yes,4500,14,0.024158609323075765,0,1,Old
Lexus,ES 350 Base,2016,51335,Gasoline,268.0,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,25995,10,0.506369798971482,1,0,Moderate
RAM,1500 Big Horn,2022,19376,Gasoline,5.7,Automatic,Bright White Clearcoat,Black,None reported,Yes,45861,4,2.36677504257625,0,0,New
Mitsubishi,Lancer Evolution IX,2006,77000,Gasoline,286.0,5-Speed M/T,Silver,Black,None reported,Yes,57000,20,0.7402501266217322,0,0,Old
Acura,TL Technology,2013,40000,Gasoline,280.0,6-Speed A/T,Blue,Gray,None reported,Yes,24000,13,0.5999850003749906,0,0,Old
Cadillac,CTS Luxury,2012,113000,Gasoline,270.0,6-Speed A/T,White,Beige,None reported,Yes,10000,14,0.088494792081486,0,1,Old
Chevrolet,Camaro 1SS,2022,7600,Gasoline,455.0,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,46000,4,6.051835284830943,0,0,New
Toyota,Camry Hybrid LE,2022,20400,Hybrid,208.0,CVT Transmission,White,Gray,None reported,Yes,29900,4,1.4656144306651635,0,0,New
Ford,Transit-350 XLT,2019,115000,Gasoline,310.0,A/T,White,Gray,None reported,Yes,39000,7,0.33912748584794916,0,1,Moderate
Jaguar,F-TYPE V6 S,2014,62194,Gasoline,3.0,Automatic,Black,Black,None reported,Yes,32998,12,0.5305571187394486,1,0,Old
Jeep,Wrangler Sahara,2020,22138,Gasoline,3.6,Automatic,Black,Black,None reported,Yes,38598,6,1.7434391797280817,0,0,Moderate
Porsche,718 Boxster S,2017,48900,Gasoline,350.0,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,62500,9,1.2780924725465737,1,0,Moderate
Lincoln,MKZ Base,2016,68200,Gasoline,300.0,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,16750,10,0.2455975718831102,0,0,Moderate
Chevrolet,S-10 LS Crew Cab,2001,139000,Gasoline,190.0,A/T,Red,Gray,None reported,Yes,7000,25,0.0503593499327343,0,1,Very Old
Lexus,RX 350 RX 350 F SPORT Handling,2022,14330,Gasoline,3.5,Automatic,Black,Red,None reported,Yes,54998,4,3.8376945084083456,1,0,New
BMW,750 i xDrive,2019,41906,Gasoline,445.0,8-Speed A/T,Blue,White,At least 1 accident or damage reported,Yes,45999,7,1.0976447848808075,1,0,Moderate
Chevrolet,Camaro 2SS,2016,164000,Gasoline,455.0,8-Speed A/T,Black,Red,None reported,Yes,21500,10,0.13109676160511216,0,1,Moderate
Ford,Fusion Hybrid SE,2013,161933,Hybrid,2.0,Automatic CVT,Blue,Charcoal Black,None reported,Yes,7945,13,0.04906319858707869,0,1,Old
Hyundai,Santa Cruz 2.5T Limited,2022,22829,Gasoline,2.5,Automatic,Hampton Gray,Black,None reported,Yes,34580,4,1.5146736749890495,0,0,New
Lexus,RX 350 F Sport,2023,5483,Gasoline,2.4,8-Speed Automatic,Ultra White,Black,None reported,Yes,59950,3,10.931801604668125,1,0,New
Land,Rover Range Rover Evoque S,2020,46891,Gasoline,246.0,9-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,31000,6,0.6610935767295061,1,0,Moderate
Chevrolet,Suburban LT,2019,72000,Gasoline,355.0,A/T,Blue,Beige,At least 1 accident or damage reported,Yes,39000,7,0.5416591436230053,0,0,Moderate
Chevrolet,Camaro 1LT,2021,18000,Gasoline,335.0,10-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,30000,5,1.6665740792178212,0,0,New
Jeep,Gladiator Freedom,2021,30630,Gasoline,3.6,Automatic,Hydro Blue Pearlcoat,Black,None reported,Yes,39998,5,1.3058013123959387,0,0,New
Toyota,Tacoma Double Cab,2007,24985,Gasoline,236.0,5-Speed A/T,Silver,Silver,None reported,Yes,33580,19,1.3439526134635396,0,0,Old
GMC,Yukon Denali Ultimate,2023,9978,Gasoline,420.0,10-Speed A/T,White,Gold,None reported,Yes,93999,3,9.419681330794669,0,0,New
Ford,Shelby GT350R Base,2018,18500,Gasoline,526.0,M/T,Blue,Black,At least 1 accident or damage reported,Yes,77999,8,4.215934273823037,0,0,Moderate
Cadillac,Escalade Premium Luxury Platinum,2021,72843,Gasoline,6.2,10-Speed Automatic,Sandstone Metallic,Dark Auburn,None reported,Yes,79990,5,1.0981000494206798,0,0,New
Buick,LaCrosse Base,2017,67500,Gasoline,310.0,8-Speed A/T,Black,Beige,None reported,Yes,20000,9,0.29629190678656614,0,0,Moderate
Tesla,Model X Long Range Plus,2020,43534,Gasoline,534.0,1-Speed A/T,Black,Black,None reported,Yes,65990,6,1.515791891581486,1,0,Moderate
Mercedes-Benz,E-Class E 300 4MATIC,2017,36900,Gasoline,241.0,9-Speed A/T,Gray,Beige,None reported,Yes,28500,9,0.772336793040839,1,0,Moderate
Chevrolet,Tahoe LT,2017,61720,E85 Flex Fuel,5.3,Automatic,Silver,Jet Black,At least 1 accident or damage reported,Yes,39998,9,0.6480452358192511,0,0,Moderate
Kia,Telluride EX,2022,35938,Gasoline,3.8,8-Speed Automatic,Glacial White Pearl,Black,None reported,Yes,43329,4,1.2056261999499152,0,0,New
Toyota,Tundra Hybrid Limited,2023,10748,Hybrid,3.4,Automatic,Midnight Black Metallic,Black,None reported,Yes,63100,3,5.870313517536515,0,0,New
Nissan,Armada Platinum,2018,108206,Gasoline,5.6,Automatic,White,Charcoal,At least 1 accident or damage reported,Yes,26498,8,0.24488249373885237,0,1,Moderate
Land,Rover Discovery HSE,2020,32705,Diesel,3.0,Automatic,Portofino Blue Metallic,Tan/Ebony/Ebony,None reported,Yes,46598,6,1.4247538677918425,1,0,Moderate
Kia,Telluride S,2020,74026,Gasoline,3.8,8-Speed Automatic,Sangria Red,Black,None reported,Yes,32913,6,0.4446080484147676,0,0,Moderate
Lexus,GS 350 F Sport,2020,24651,Gasoline,3.5,6-Speed Automatic,Ultra White,Black,None reported,Yes,45950,6,1.8639461301314295,1,0,Moderate
BMW,X6 xDrive40i,2022,13000,Hybrid,335.0,Transmission w/Dual Shift Mode,Gray,Orange,None reported,Yes,69000,4,5.307284055072687,1,0,New
Chevrolet,Silverado 3500 High Country,2015,77500,Diesel,397.0,6-Speed A/T,Black,Brown,None reported,Yes,54000,11,0.6967652030296383,0,0,Old
Maserati,Quattroporte Sport GT,2007,82000,Gasoline,394.0,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,7999,19,0.09754759088303801,1,0,Old
Ford,Expedition Limited,2021,29830,Gasoline,3.5,10-Speed Automatic,Magnetic Metallic,Ebony,None reported,Yes,55329,5,1.8547484160772352,0,0,New
Kia,Optima LX,2019,62660,Gasoline,185.0,A/T,White,Black,None reported,Yes,16500,7,0.2633216833437066,0,0,Moderate
Land,Rover Range Rover Sport SVR,2018,56006,Gasoline,575.0,Transmission w/Dual Shift Mode,Silver,White,None reported,Yes,59000,8,1.0534397486028533,1,0,Moderate
Lexus,RX 450h F SPORT Handling,2021,31365,Hybrid,3.5,Variable,Beige,Red,None reported,Yes,52998,5,1.689663967353185,1,0,New
Lincoln,Town Car Base,2004,27600,Gasoline,239.0,4-Speed A/T,Black,White,None reported,Yes,14900,22,0.5398355132060433,0,0,Very Old
Honda,Civic Si,2012,47245,Gasoline,201.0,6-Speed M/T,White,Black,None reported,Yes,19600,14,0.4148499343859798,0,0,Old
Lexus,RX 450h Base,2017,73948,Hybrid,308.0,A/T,White,Beige,None reported,Yes,31990,9,0.4325954373960432,1,0,Moderate
RAM,1500 Classic Warlock,2019,36757,E85 Flex Fuel,3.6,8-Speed Automatic,Diamond Black,Diesel Gray / Black,None reported,Yes,31953,7,0.8692801567005822,0,0,Moderate
Tesla,Model Y Long Range,2023,4786,Gasoline,425.0,A/T,White,White,None reported,Yes,48000,3,10.027156883225402,1,0,New
Audi,RS 3 2.5T,2023,1900,Gasoline,401.0,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,78900,3,41.50447133087849,1,0,New
Hyundai,Genesis Coupe 3.8 R-Spec,2014,52060,Gasoline,348.0,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,15000,12,0.2881235473771153,0,0,Old
Porsche,Boxster RS 60 Spyder,2008,58000,Gasoline,303.0,6-Speed M/T,Silver,Black,None reported,Yes,41500,18,0.7155049050878434,1,0,Old
Ford,F-250 XLT,2010,52246,Diesel,6.4,6-Speed Manual,Tan,Medium Stone,None reported,Yes,26095,16,0.49945451413478287,0,0,Old
Kia,Sorento EX,2016,64290,Gasoline,2.0,6-Speed Automatic,Snow White Pearl,Satin Black,None reported,Yes,16999,10,0.2644071487455476,0,0,Moderate
Nissan,370Z Touring,2009,37500,Gasoline,332.0,6-Speed M/T,Silver,Orange,None reported,Yes,21500,17,0.5733180448521373,0,0,Old
Genesis,G70 2.0T,2023,2121,Gasoline,252.0,8-Speed A/T,White,Red,None reported,Yes,40750,3,19.203581526861452,0,0,New
Land,Rover Range Rover Sport Supercharged,2013,57000,Gasoline,510.0,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,26000,13,0.4561323485552885,1,0,Old
Mercedes-Benz,S-Class S 560 4MATIC,2020,22000,Gasoline,463.0,A/T,White,Beige,None reported,Yes,69500,6,3.1589473205763374,1,0,Moderate
Ford,Bronco Wildtrak Advanced,2023,2000,Gasoline,315.0,A/T,Black,Black,None reported,Yes,66500,3,33.23338330834583,0,0,New
RAM,1500 SLT,2018,61802,E85 Flex Fuel,305.0,8-Speed A/T,Black,Gray,None reported,Yes,32000,8,0.5177742180800284,0,0,Moderate
Jeep,Grand Cherokee Laredo,2013,106700,E85 Flex Fuel,290.0,6-Speed A/T,Black,Black,None reported,Yes,13500,13,0.12652177580341328,0,1,Old
Audi,RS 5 4.2,2013,75965,Gasoline,450.0,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,35999,13,0.4738830529447384,1,0,Old
Jeep,Grand Cherokee L Overland,2022,31804,Gasoline,3.6,Automatic,Silver Zynith,Global Black,At least 1 accident or damage reported,Yes,48995,4,1.540481056437667,0,0,New
Chrysler,Crossfire Limited,2005,116320,Gasoline,215.0,5-Speed A/T,Gray,Red,At least 1 accident or damage reported,Yes,6000,21,0.05158139974725114,0,1,Very Old
Audi,S5 4.2 Premium Plus,2011,156875,Gasoline,354.0,6-Speed M/T,Black,Red,At least 1 accident or damage reported,Yes,9900,15,0.06310716744435095,1,1,Old
Tesla,Model X Base,2023,197,Gasoline,670.0,A/T,Blue,Black,None reported,Yes,85000,3,429.2929292929293,1,0,New
Cadillac,CT4 Luxury,2020,35200,Gasoline,237.0,8-Speed A/T,Blue,Black,None reported,Yes,28500,6,0.8096360898838101,0,0,Moderate
Maserati,Ghibli S Q4,2014,76000,Gasoline,404.0,A/T,Black,Black,None reported,Yes,19000,12,0.24999671056959777,1,0,Old
Jaguar,F-PACE 25t Premium,2019,29000,Gasoline,247.0,A/T,White,Black,None reported,Yes,34500,7,1.1896141512361642,1,0,Moderate
BMW,750 i xDrive,2019,33499,Gasoline,445.0,A/T,Gray,Black,At least 1 accident or damage reported,Yes,44495,7,1.3282089552238805,1,0,Moderate
Acura,TLX V6 Advance,2019,25779,Gasoline,3.5,9-Speed Automatic,Platinum White Pearl,Ebony,At least 1 accident or damage reported,Yes,30999,7,1.20244375484872,0,0,Moderate
GMC,Terrain SLT-1,2015,76296,Gasoline,182.0,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,9500,11,0.12451341468209759,0,0,Old
BMW,i3 Base w/Range Extender,2014,29553,Gasoline,170.0,1-Speed A/T,Black,Gray,None reported,Yes,12800,12,0.43310550179332746,1,0,Old
Nissan,Versa 1.8 S,2011,109902,Gasoline,122.0,A/T,Blue,Gray,None reported,Yes,4500,15,0.04094519712837684,0,1,Old
Mercedes-Benz,C-Class C 300 4MATIC,2019,23083,Gasoline,255.0,9-Speed A/T,White,Beige,None reported,Yes,33500,7,1.4512216253682204,1,0,Moderate
Toyota,Matrix XRS,2003,143600,Gasoline,180.0,6-Speed M/T,Black,Black,None reported,Yes,4199,23,0.029240743448861777,0,1,Very Old
RAM,1500 Limited,2021,22000,Gasoline,395.0,8-Speed A/T,Black,Black,None reported,Yes,54800,5,2.4907958729148674,0,0,New
Mercedes-Benz,AMG E 53 Base 4MATIC,2022,13000,Hybrid,429.0,9-Speed A/T,Silver,Black,None reported,Yes,81500,4,6.268748557803246,1,0,New
Audi,A5 2.0T Premium,2018,53000,Gasoline,252.0,A/T,White,Brown,At least 1 accident or damage reported,Yes,28000,8,0.5282919190203959,1,0,Moderate
Lincoln,Navigator Reserve,2019,44741,Gasoline,450.0,10-Speed A/T,Beige,Beige,None reported,Yes,52999,7,1.1845469581154173,0,0,Moderate
Audi,A6 3.2 quattro,2008,202000,Gasoline,255.0,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,5700,18,0.02821768209068272,1,1,Old
Mercedes-Benz,S-Class S 560,2019,77138,Gasoline,4.0,Automatic,designo Diamond White,Black,None reported,Yes,49998,7,0.6481546299537199,1,0,Moderate
Volvo,XC90 T6 Momentum,2018,90641,Gasoline,2.0,8-Speed Automatic,White,Amber,None reported,Yes,25999,8,0.2868317115685885,0,0,Moderate
Toyota,Camry SE,2011,177702,Gasoline,179.0,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,7700,15,0.04333072598661812,0,1,Old
Mercedes-Benz,Metris Base,2018,58350,Gasoline,208.0,7-Speed A/T,Black,Black,None reported,Yes,29497,8,0.505509759901287,1,0,Moderate
Chevrolet,Camaro 2LT,2010,86170,Gasoline,304.0,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,17000,16,0.19728214828654653,0,0,Old
Mazda,MX-5 Miata Grand Touring,2012,36568,Gasoline,167.0,6-Speed M/T,Blue,Beige,At least 1 accident or damage reported,Yes,20199,14,0.5523530859471136,0,0,Old
Ford,Escape SE,2015,54357,Gasoline,173.0,6-Speed A/T,White,Gray,None reported,Yes,16250,11,0.298944037676147,0,0,Old
Mercedes-Benz,S-Class S 63 AMG,2015,20394,Gasoline,5.5,Automatic,Black,Black,At least 1 accident or damage reported,Yes,59598,11,2.922186810492768,1,0,Old
Kia,Niro EX,2023,7578,Hybrid,1.6,Automatic,Snow White Pearl,Charcoal,None reported,Yes,31113,3,4.105158991951445,0,0,New
Porsche,Boxster Base,2010,64800,Gasoline,255.0,6-Speed M/T,Gray,Gray,At least 1 accident or damage reported,Yes,20900,16,0.3225258869461891,1,0,Old
Toyota,4Runner Trail,2016,117780,Gasoline,270.0,5-Speed A/T,Gray,Black,None reported,Yes,27750,10,0.2356067617018025,0,1,Moderate
Hyundai,Kona EV SEL,2019,33100,Gasoline,201.0,1-Speed A/T,Black,Black,None reported,Yes,18200,7,0.549832331349506,0,0,Moderate
Land,Rover Range Rover Evoque SE,2016,86202,Gasoline,240.0,9-Speed A/T,Black,Black,None reported,Yes,18750,10,0.2175098314443813,1,0,Moderate
Ford,E350 Super Duty XLT,2012,163000,E85 Flex Fuel,255.0,A/T,White,Gray,None reported,Yes,19550,14,0.11993791449132214,0,1,Old
Mercedes-Benz,SL-Class SL500 Roadster,2004,35400,Gasoline,302.0,7-Speed A/T,Black,Gray,None reported,Yes,24900,22,0.7033699613005282,1,0,Very Old
Jeep,Compass Trailhawk,2018,31000,Gasoline,180.0,9-Speed A/T,Gray,Black,None reported,Yes,22000,8,0.7096545272733138,0,0,Moderate
Mercedes-Benz,S-Class S 560 4MATIC,2018,103069,Gasoline,4.0,Automatic,Anthracite Blue Metallic,Silk Beige/Espresso Brown,None reported,Yes,40998,8,0.39776850684001164,1,1,Moderate
Lexus,IS-F Base,2010,41500,Gasoline,416.0,8-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,44800,16,1.0794920604322786,1,0,Old
BMW,335 i,2010,91545,Gasoline,300.0,6-Speed A/T,Black,Black,None reported,Yes,13000,16,0.14200511218403863,1,0,Old
Buick,Lucerne CXL,2006,110000,Gasoline,275.0,A/T,Gold,Beige,None reported,Yes,5000,20,0.045454132235161496,0,1,Old
Lincoln,MKX Reserve,2016,88000,Gasoline,335.0,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,18500,10,0.21022488380813856,0,0,Moderate
Nissan,Armada Platinum,2018,42833,Gasoline,390.0,Transmission w/Dual Shift Mode,Blue,Gray,None reported,Yes,37000,8,0.8637997852173507,0,0,Moderate
BMW,435 Gran Coupe i,2015,60100,Gasoline,300.0,8-Speed A/T,Blue,Beige,None reported,Yes,24995,11,0.4158832631736577,1,0,Old
Jeep,Wagoneer Series III,2022,17381,Gasoline,5.7,8-Speed Automatic,Velvet Red Pearlcoat,Global Black,None reported,Yes,69685,4,4.009032332297779,0,0,New
Cadillac,ATS 2.5L,2013,63172,Gasoline,202.0,A/T,Black,Black,At least 1 accident or damage reported,Yes,12995,13,0.2057049688949393,0,0,Old
Ford,Transit Connect XLT,2010,72000,Gasoline,136.0,A/T,White,Gray,At least 1 accident or damage reported,Yes,10900,16,0.15138678629463478,0,0,Old
Kia,EV6 GT-Line,2022,4820,Gasoline,320.0,1-Speed A/T,Red,Black,None reported,Yes,47500,4,9.852727649865173,0,0,New
Audi,S5 3.0T Premium Plus,2014,67900,Gasoline,333.0,6-Speed M/T,Silver,Black,None reported,Yes,25990,12,0.38276314045448523,1,0,Old
Toyota,Tundra SR,2018,51000,Gasoline,381.0,A/T,Black,Gray,None reported,Yes,38000,8,0.7450834297366719,0,0,Moderate
Jeep,Wrangler Unlimited Freedom Edition,2013,54500,Gasoline,285.0,A/T,Green,Black,None reported,Yes,35000,13,0.642190051558687,0,0,Old
Maserati,Quattroporte Base,2006,61840,Gasoline,394.0,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,16500,20,0.2668132792160541,1,0,Old
Mercedes-Benz,CLS-Class CLS500,2006,28950,Gasoline,302.0,7-Speed A/T,Blue,Beige,None reported,Yes,16750,20,0.5785637801803046,1,0,Old
Nissan,Frontier SL,2011,103400,Gasoline,261.0,5-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,17000,15,0.1644084680032108,0,1,Old
Land,Rover Defender X-Dynamic SE,2023,3678,Hybrid,3.0,Automatic,Fuji White,Black,None reported,Yes,81998,3,22.288121772220713,1,0,New
Ford,F-150 XL,2016,107000,E85 Flex Fuel,385.0,6-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,22000,10,0.2056055550882702,0,1,Moderate
Porsche,911 Carrera S,2010,13850,Gasoline,385.0,6-Speed M/T,Black,Black,None reported,Yes,71400,16,5.154862464803985,1,0,Old
Volvo,XC70 3.2,2008,46700,Gasoline,235.0,6-Speed A/T,White,Beige,None reported,Yes,11400,18,0.24410612192458406,0,0,Old
Chrysler,300 Touring,2021,21478,Gasoline,3.6,Automatic,Silver Mist,Black,None reported,Yes,27798,5,1.2941943293449416,0,0,New
Honda,Insight EX,2020,64200,Hybrid,151.0,CVT Transmission,White,Black,At least 1 accident or damage reported,Yes,20499,6,0.31929409199233655,0,0,Moderate
Porsche,Cayman S,2006,31075,Gasoline,3.4,5-Speed Automatic,Black,Black / Stone Grey,None reported,Yes,36250,20,1.1664950444072597,1,0,Old
Tesla,Model Y Performance,2022,25250,Gasoline,455.0,1-Speed A/T,White,White,None reported,Yes,47800,4,1.8929943368579463,1,0,New
BMW,M5 Competition,2020,35400,Gasoline,617.0,8-Speed A/T,Orange,Black,None reported,Yes,71950,6,2.0324284624728115,1,0,Moderate
Audi,S4 4.2 quattro,2004,74030,Gasoline,340.0,6-Speed M/T,Silver,Gray,None reported,Yes,16000,22,0.21612567708122274,1,0,Very Old
Ford,F-250 Platinum,2021,48549,Diesel,6.7,Automatic,Antimatter Blue Metallic,Black,None reported,Yes,69998,5,1.441771369721936,0,0,New
